client_id,number_contacts,contact_duration,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
0,1,261,999,0,,0,1,2022-05-01
1,1,149,999,0,,0,1,2022-05-01
2,1,226,999,0,,0,1,2022-05-01
3,1,151,999,0,,0,1,2022-05-01
4,1,307,999,0,,0,1,2022-05-01
5,1,198,999,0,,0,1,2022-05-01
6,1,139,999,0,,0,1,2022-05-01
7,1,217,999,0,,0,1,2022-05-01
8,1,380,999,0,,0,1,2022-05-01
9,1,50,999,0,,0,1,2022-05-01
10,1,55,999,0,,0,1,2022-05-01
11,1,222,999,0,,0,1,2022-05-01
12,1,137,999,0,,0,1,2022-05-01
13,1,293,999,0,,0,1,2022-05-01
14,1,146,999,0,,0,1,2022-05-01
15,1,174,999,0,,0,1,2022-05-01
16,1,312,999,0,,0,1,2022-05-01
17,1,440,999,0,,0,1,2022-05-01
18,1,353,999,0,,0,1,2022-05-01
19,1,195,999,0,,0,1,2022-05-01
20,1,38,999,0,,0,1,2022-05-01
21,1,262,999,0,,0,1,2022-05-01
22,1,342,999,0,,0,1,2022-05-01
23,1,181,999,0,,0,1,2022-05-01
24,1,172,999,0,,0,1,2022-05-01
25,1,99,999,0,,0,1,2022-05-01
26,1,93,999,0,,0,1,2022-05-01
27,1,233,999,0,,0,1,2022-05-01
28,2,255,999,0,,0,1,2022-05-01
29,1,362,999,0,,0,1,2022-05-01
30,1,348,999,0,,0,1,2022-05-01
31,1,386,999,0,,0,1,2022-05-01
32,1,73,999,0,,0,1,2022-05-01
33,1,230,999,0,,0,1,2022-05-01
34,1,208,999,0,,0,1,2022-05-01
35,1,336,999,0,,0,1,2022-05-01
36,1,365,999,0,,0,1,2022-05-01
37,1,1666,999,0,,0,1,2022-05-01
38,1,577,999,0,,0,1,2022-05-01
39,1,137,999,0,,0,1,2022-05-01
40,1,366,999,0,,0,1,2022-05-01
41,1,314,999,0,,0,1,2022-05-01
42,1,160,999,0,,0,1,2022-05-01
43,1,212,999,0,,0,1,2022-05-01
44,1,188,999,0,,0,1,2022-05-01
45,1,22,999,0,,0,1,2022-05-01
46,1,616,999,0,,0,1,2022-05-01
47,1,178,999,0,,0,1,2022-05-01
48,1,355,999,0,,0,1,2022-05-01
49,2,225,999,0,,0,1,2022-05-01
50,1,160,999,0,,0,1,2022-05-01
51,1,266,999,0,,0,1,2022-05-01
52,1,253,999,0,,0,1,2022-05-01
53,1,179,999,0,,0,1,2022-05-01
54,2,269,999,0,,0,1,2022-05-01
55,1,135,999,0,,0,1,2022-05-01
56,1,161,999,0,,0,1,2022-05-01
57,1,787,999,0,,0,1,2022-05-01
58,1,145,999,0,,0,1,2022-05-01
59,1,174,999,0,,0,1,2022-05-01
60,1,449,999,0,,0,1,2022-05-01
61,1,812,999,0,,0,1,2022-05-01
62,1,164,999,0,,0,1,2022-05-01
63,1,366,999,0,,0,1,2022-05-01
64,1,357,999,0,,0,1,2022-05-01
65,1,232,999,0,,0,1,2022-05-01
66,1,91,999,0,,0,1,2022-05-01
67,1,273,999,0,,0,1,2022-05-01
68,2,158,999,0,,0,1,2022-05-01
69,1,177,999,0,,0,1,2022-05-01
70,1,200,999,0,,0,1,2022-05-01
71,1,172,999,0,,0,1,2022-05-01
72,1,176,999,0,,0,1,2022-05-01
73,1,211,999,0,,0,1,2022-05-01
74,1,214,999,0,,0,1,2022-05-01
75,1,1575,999,0,,1,1,2022-05-01
76,1,349,999,0,,0,1,2022-05-01
77,2,337,999,0,,0,1,2022-05-01
78,1,272,999,0,,0,1,2022-05-01
79,1,208,999,0,,0,1,2022-05-01
80,1,193,999,0,,0,1,2022-05-01
81,1,212,999,0,,0,1,2022-05-01
82,2,165,999,0,,0,1,2022-05-01
83,1,1042,999,0,,1,1,2022-05-01
84,1,20,999,0,,0,1,2022-05-01
85,1,246,999,0,,0,1,2022-05-01
86,2,529,999,0,,0,1,2022-05-01
87,1,192,999,0,,0,1,2022-05-01
88,1,1467,999,0,,1,1,2022-05-01
89,2,188,999,0,,0,1,2022-05-01
90,2,180,999,0,,0,1,2022-05-01
91,1,48,999,0,,0,1,2022-05-01
92,2,213,999,0,,0,1,2022-05-01
93,1,545,999,0,,0,1,2022-05-01
94,1,583,999,0,,0,1,2022-05-01
95,1,221,999,0,,0,1,2022-05-01
96,1,426,999,0,,0,1,2022-05-01
97,1,287,999,0,,0,1,2022-05-01
98,1,197,999,0,,0,1,2022-05-01
99,1,257,999,0,,0,1,2022-05-01
100,1,229,999,0,,0,1,2022-05-01
101,3,55,999,0,,0,1,2022-05-01
102,1,400,999,0,,0,1,2022-05-01
103,1,197,999,0,,0,1,2022-05-01
104,1,190,999,0,,0,1,2022-05-01
105,1,21,999,0,,0,1,2022-05-01
106,2,300,999,0,,0,1,2022-05-01
107,2,123,999,0,,0,1,2022-05-01
108,1,293,999,0,,0,1,2022-05-01
109,1,325,999,0,,0,1,2022-05-01
110,1,514,999,0,,0,1,2022-05-01
111,2,849,999,0,,0,1,2022-05-01
112,1,194,999,0,,0,1,2022-05-01
113,2,212,999,0,,0,1,2022-05-01
114,2,337,999,0,,0,1,2022-05-01
115,1,286,999,0,,0,1,2022-05-01
116,2,247,999,0,,0,1,2022-05-01
117,1,518,999,0,,0,1,2022-05-01
118,1,364,999,0,,0,1,2022-05-01
119,1,178,999,0,,0,1,2022-05-01
120,1,98,999,0,,0,1,2022-05-01
121,1,439,999,0,,0,1,2022-05-01
122,1,139,999,0,,0,1,2022-05-01
123,1,79,999,0,,0,1,2022-05-01
124,1,175,999,0,,0,1,2022-05-01
125,2,262,999,0,,0,1,2022-05-01
126,1,61,999,0,,0,1,2022-05-01
127,1,78,999,0,,0,1,2022-05-01
128,2,102,999,0,,0,1,2022-05-01
129,1,579,999,0,,1,1,2022-05-01
130,1,143,999,0,,0,1,2022-05-01
131,1,677,999,0,,0,1,2022-05-01
132,1,267,999,0,,0,1,2022-05-01
133,1,345,999,0,,0,1,2022-05-01
134,1,185,999,0,,0,1,2022-05-01
135,1,207,999,0,,0,1,2022-05-01
136,2,69,999,0,,0,1,2022-05-01
137,2,100,999,0,,0,1,2022-05-01
138,2,125,999,0,,0,1,2022-05-01
139,1,461,999,0,,1,1,2022-05-01
140,1,240,999,0,,0,1,2022-05-01
141,1,70,999,0,,0,1,2022-05-01
142,1,193,999,0,,0,1,2022-05-01
143,1,136,999,0,,0,1,2022-05-01
144,1,73,999,0,,0,1,2022-05-01
145,1,528,999,0,,0,1,2022-05-01
146,1,541,999,0,,0,1,2022-05-01
147,1,338,999,0,,0,1,2022-05-01
148,1,163,999,0,,0,1,2022-05-01
149,1,87,999,0,,0,1,2022-05-01
150,1,301,999,0,,0,1,2022-05-01
151,1,46,999,0,,0,1,2022-05-01
152,1,52,999,0,,0,1,2022-05-01
153,1,204,999,0,,0,1,2022-05-01
154,1,155,999,0,,0,1,2022-05-01
155,1,98,999,0,,0,1,2022-05-01
156,1,71,999,0,,0,1,2022-05-01
157,1,243,999,0,,0,1,2022-05-01
158,2,186,999,0,,0,1,2022-05-01
159,2,579,999,0,,0,1,2022-05-01
160,2,165,999,0,,0,1,2022-05-01
161,2,163,999,0,,0,1,2022-05-01
162,1,46,999,0,,0,1,2022-05-01
163,3,559,999,0,,0,1,2022-05-01
164,1,2033,999,0,,0,1,2022-05-01
165,1,85,999,0,,0,1,2022-05-01
166,1,506,999,0,,0,1,2022-05-01
167,2,114,999,0,,0,1,2022-05-01
168,2,114,999,0,,0,1,2022-05-01
169,2,843,999,0,,0,1,2022-05-01
170,1,181,999,0,,0,1,2022-05-01
171,1,427,999,0,,0,1,2022-05-01
172,1,292,999,0,,0,1,2022-05-01
173,1,192,999,0,,0,1,2022-05-01
174,3,93,999,0,,0,1,2022-05-01
175,2,128,999,0,,0,1,2022-05-01
176,1,107,999,0,,0,1,2022-05-01
